모델명,연료,트림,가격
더 뉴 아반떼 (CN7),가솔린,1.6,9999
팰리세이드,디젤,2.2 2WD,2730
카니발 R,디젤,그랜드 카니발 GLX,420
K8,LPG,3.5 LPG 2WD,2250
올란도,디젤,2.0  LTZ,349
코나,디젤,1.6 4WD,1350
마티즈 크리에이티브,가솔린,그루브,290
뉴모닝,가솔린,LX,200
올란도,LPG,LPG LT,710
K3,가솔린,트렌디,670
캐스퍼,가솔린,터보 인스퍼레이션,8999
말리부,디젤,2.0  LT 디럭스팩,290
그랜저 (GN7),가솔린,2.5  2WD,3940
코나 하이브리드 (SX2),가솔린+전기,인스퍼레이션,3150
더 뉴 기아 레이,가솔린,밴,1330
더 뉴 쏘렌토,가솔린,2.0 터보 2WD,1970
더 뉴 모닝,가솔린,디럭스,999
SM6,디젤,1.5 dCi PE,740
그랜저 HG,가솔린,HG300 익스클루시브,1029
그랜저 HG,LPG,LPG HG300 익스클루시브,680
K8 하이브리드,가솔린+전기,노블레스,2870
GV70,가솔린,2.5T  2WD,4550
쏘렌토 4세대,디젤,2.2 2WD,2890
스타리아,디젤,카고 3인승,2480
더 뉴 싼타페,디젤,2.2 2WD,2620
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1949
G4 렉스턴,디젤,2.2 4WD,1690
그랜저 HG,가솔린,HG240 모던,980
트레일블레이저,가솔린,1.3 터보 4WD,9999
GV80,가솔린,2.5T  AWD,6530
더 뉴 셀토스,가솔린,1.6 터보 2WD,2290
넥쏘,수소,프리미엄,1369
렉스턴 스포츠,디젤,2.2 4WD,1750
더 뉴 팰리세이드,가솔린,3.8 4WD,3690
올 뉴 카마로,가솔린,SS 6.2 V8,3590
더 뉴 그랜저 IG,LPG,3.0 LPi,3290
모하비 더 마스터,디젤,3.0 4WD 6인승,2899
아이오닉5,전기,롱레인지,9999
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1700
쏘렌토 4세대,디젤,2.2 2WD,2350
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,4690
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 하이리무진,6790
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3749
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3990
더 뉴 G70 슈팅브레이크,가솔린,2.0T 4WD,4090
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,5290
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,5790
캐스퍼 일렉트릭,전기,인스퍼레이션,2690
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,9999
QM6,가솔린,2WD RE 시그니처,1949
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3950
스타리아,LPG,L3.5 어린이보호차,4390
더 뉴 팰리세이드,가솔린,3.8 4WD,4390
SM6,가솔린,2.0 GDe RE,1349
더 뉴 G70,가솔린,2.0T 2WD,3650
아반떼 (CN7),가솔린,1.6,1540
쏘렌토 4세대,가솔린,2.5T 2WD,2390
티볼리 에어,가솔린,1.6 IX 2WD,1050
쏘나타 (DN8),가솔린,2,9999
카니발 4세대,가솔린,9인승 시그니처,3270
G90 (RS4),가솔린,3.5 터보 AWD,6635
카니발 4세대,디젤,9인승 시그니처,3080
G80 (RG3),가솔린,2.5 터보 AWD,4080
아반떼 하이브리드 (CN7),가솔린+전기,모던,1700
K8 하이브리드,가솔린+전기,시그니처,9999
올 뉴 투싼,디젤,1.6 2WD,1420
제네시스 DH,가솔린,G330 모던 AWD,1150
스포티지 더 볼드,디젤,2.0 4WD,1490
뉴콩코드,가솔린,1.8 GXi,990
티볼리,디젤,VX 2WD,690
K5 3세대,가솔린,2,9999
레이,가솔린,터보 프레스티지,490
제네시스 DH,가솔린,G330 프리미엄 AWD,999
스포티지 R,디젤,2WD TLX,750
더 뉴 트랙스,가솔린,1.4 프리미어,799
G80,가솔린,3.8 GDI AWD,1860
XM3,가솔린,1.6 GTe SE,1190
더 뉴 싼타페,디젤,2.2 2WD,2500
더 뉴 K8 하이브리드,가솔린+전기,노블레스,4690
제네시스 DH,가솔린,G330 프리미엄 AWD,1330
아반떼 하이브리드 (CN7),가솔린+전기,모던,1580
아반떼 AD,가솔린,1.6 GDI 스마트,890
카니발 4세대,디젤,9인승 노블레스,2339
뉴SM5 플래티넘,가솔린,RE,499
카니발 4세대,디젤,9인승 노블레스,2940
쏘렌토 4세대,디젤,2.2 2WD,2530
아슬란,가솔린,G300 익스클루시브,799
쏘나타 뉴 라이즈,가솔린,2.0 스마트,1480
싼타페 (MX5),가솔린+전기,HEV 1.6 4WD,4990
더 뉴 싼타페,디젤,2.2 2WD,2990
더 뉴 그랜저 IG,가솔린,3.3,2490
XM3,가솔린,1.6 GTe RE,1790
싼타페 TM,디젤,2.0 2WD,2150
GV70,가솔린,2.5T  AWD,5490
싼타페 (MX5),가솔린,2.5T 4WD,4450
G80 (RG3),가솔린,2.5 터보 AWD,5299
올 뉴 K7,가솔린,3.3 GDI 노블레스,940
렉스턴 스포츠,디젤,2.2 4WD,1780
더 뉴 카니발,디젤,9인승 노블레스,1939
셀토스,가솔린,1.6 터보 2WD,1990
스팅어 마이스터,가솔린,3.3 GT 아크로 에디션,3390
더 뉴 카니발 4세대,가솔린,7인승 노블레스,4190
G80 (RG3),가솔린,2.5 터보 2WD,4450
K8 하이브리드,가솔린+전기,시그니처,2850
더 뉴 QM6,LPG,2.0 LPe 프리미에르 2WD,2430
더 뉴 레이,가솔린,시그니처,1290
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1990
GV80,가솔린,3.5T  AWD,4810
쏘나타 (DN8),가솔린,2,1600
쏘나타 하이브리드 (DN8),가솔린+전기,인스퍼레이션,1999
제네시스,가솔린,BH330 럭셔리,340
더 뉴 카니발,가솔린,9인승 하이리무진,2990
싼타페 더 프라임,디젤,2.0 4WD,1440
더 뉴 벨로스터,가솔린,1.6 터보 디 스펙,590
스포티지 더 볼드,디젤,1.6 2WD,1750
K7 프리미어,가솔린,2.5 GDI 노블레스,1940
스포티지 R,디젤,2WD TLX,570
쏘나타 (DN8),가솔린,1.6 터보,1679
G70,가솔린,2.0T,2799
SM6,LPG,2.0 LPe RE,550
i40 살룬,가솔린,2.0 GDi,830
더 뉴 i40 살룬,디젤,1.7 VGT,800
쏘나타 (DN8),가솔린,2,1660
티볼리 아머,가솔린,기어 에디션 2WD,1090
싼타페 TM,디젤,2.0 2WD,1800
쏘나타 뉴 라이즈,가솔린,2.0 터보 익스클루시브,1450
더 뉴 K3,가솔린,트렌디,1080
올 뉴 모닝,가솔린,디럭스 스페셜,390
더 뉴 그랜저 IG,가솔린,3.3,3130
싼타페 더 프라임,디젤,2.0 2WD,1560
그랜저 IG,가솔린,2.4 익스클루시브,2190
QM6,가솔린,2WD RE,1200
더 뉴 카니발,디젤,9인승 노블레스,1750
쏘울 EV,전기,EV,1090
더 뉴 그랜저 IG,가솔린,2.5,2550
GV80,디젤,3.0  AWD,4150
더 뉴 모하비,디젤,3.0 4WD,1870
프라이드(신형),가솔린,4DR 1.6 CVVT SLX,170
QM5,디젤,2WD 페어웨이,320
G90,가솔린,5.0 AWD,4170
K7 프리미어,가솔린,2.5 GDI X 에디션,1850
G90,가솔린,5.0 AWD,4750
클리오,디젤,인텐스,750
팰리세이드,디젤,2.2 4WD,3250
그랜저 HG,가솔린,HG300 익스클루시브,670
레이,가솔린,럭셔리,520
올란도,LPG,LPG LT,530
그랜저 IG,가솔린,2.4 프리미엄,1230
K8 하이브리드,가솔린+전기,시그니처 스페셜,3890
카니발 4세대,가솔린,7인승 시그니처,3860
뉴SM3,가솔린,XE,390
아반떼 (CN7),가솔린,1.6,1590
스파크,가솔린,L,300
디 올 뉴 니로,가솔린+전기,프레스티지,2859
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2450
카니발 4세대,디젤,9인승 노블레스,2150
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1140
카니발 R,디젤,뉴카니발 GLX,520
G90 (RS4),가솔린,3.5 터보 AWD,8650
G80,가솔린,3.3 GDI AWD,2690
카니발 4세대,디젤,7인승 시그니처,2790
팰리세이드,가솔린,3.8 4WD,2390
스파크,가솔린,스파크 S,180
제네시스 DH,가솔린,G380 익스클루시브,1520
SM3 네오,가솔린,SE 플러스,420
베라크루즈,디젤,2WD 300VX,420
뉴SM5 플래티넘,가솔린,LE,359
티볼리 에어,디젤,IX 2WD,859
코나 하이브리드,가솔린+전기,모던 스페셜,1199
모하비 더 마스터,디젤,3.0 4WD 7인승,3490
제네시스 쿠페,가솔린,200 터보 P,525
G80,가솔린,3.3 GDI AWD,2140
LF 쏘나타,가솔린,2.0 스마트,980
올 뉴 카니발,디젤,9인승 럭셔리,1190
올 뉴 모닝,가솔린,디럭스 스페셜,290
에쿠스(신형),가솔린,VS380,699
코나,가솔린,1.6 터보 2WD 플럭스,1390
G4 렉스턴,디젤,2.2 4WD,2090
카니발 4세대,디젤,9인승 노블레스,2550
싼타페 더 프라임,디젤,2.0 4WD,1130
올 뉴 투싼,디젤,1.6 2WD,1510
K8 하이브리드,가솔린+전기,시그니처,3690
GV80,가솔린,2.5T  AWD,4780
에쿠스(신형),가솔린,VS380,890
카니발 R,디젤,그랜드 카니발 GLX,350
G90 (RS4),가솔린,3.5 터보 AWD,8980
더 뉴 그랜저 IG,가솔린,2.5,1899
그랜드 스타렉스,디젤,3인승 밴,1050
더 뉴 니로,가솔린+전기,1.6 HEV,1859
더 뉴 그랜저 IG,가솔린,2.5,2900
올란도,디젤,2.0  LTZ,550
아슬란,가솔린,G330 모던,1070
투싼 (NX4),가솔린,1.6 터보 2WD,2790
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 미드나잇 4WD,2650
코나 (SX2),가솔린,1.6 터보 2WD,2580
GV80,가솔린,3.5T  AWD,4899
그랜저 IG,가솔린,3.0 익스클루시브,1920
더 뉴 카니발,디젤,9인승 하이리무진,2099
더 뉴 셀토스,가솔린,1.6 터보 2WD,2710
더 뉴 K7,가솔린,2.4 GDI 프레스티지,650
더 뉴 쏘렌토,디젤,2.2 2WD,2120
싼타페 더 프라임,디젤,2.0 2WD,950
G80,가솔린,3.3 GDI,2100
쏘나타 디 엣지(DN8),가솔린,1.6 터보,2999
더 뉴 레이,가솔린,프레스티지,1150
레이,가솔린,터보 프레스티지,820
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 시그니처,4850
모하비 더 마스터,디젤,3.0 4WD 6인승,3620
SM7 New Art,가솔린,프레스티지,380
올 뉴 투싼,디젤,2.0 2WD,1750
트랙스 크로스오버,가솔린,1.2 ACTIV,2660
더 뉴 K5,가솔린,럭셔리,610
아반떼 하이브리드 (CN7),가솔린+전기,인스퍼레이션,2310
모하비 더 마스터,디젤,3.0 4WD 5인승,3190
스타리아,LPG,L3.5 카고 5인승,2785
모하비,디젤,4WD KV300,1250
K8 하이브리드,가솔린+전기,노블레스,2899
스팅어 마이스터,가솔린,3.3 GT AWD,4080
뉴QM5,디젤,2WD RE,320
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1590
올 뉴 모닝 (JA),가솔린,프레스티지,790
그랜저 IG,디젤,2.2  프리미엄,1650
K5 2세대,LPG,LPI MX,650
G80,가솔린,3.3 T-GDI AWD,2380
어메이징 뉴 크루즈,가솔린,1.8 LTZ,579
싼타페 TM,가솔린,2.0T 2WD,2320
제네시스 DH,가솔린,G330 모던,1420
스팅어,가솔린,3.3 터보 2WD,1599
팰리세이드,가솔린,3.8 4WD,3150
K5 2세대,LPG,LPI MX,599
올 뉴 K7,가솔린,3.0 GDI 리미티드,1300
말리부,가솔린,2.0 LTZ 디럭스팩,360
더 뉴 G70,가솔린,2.0T 2WD,3190
레이,가솔린,밴,670
K8,LPG,3.5 LPG 2WD,2355
제네시스 쿠페,가솔린,200 터보 R,570
팰리세이드,가솔린,3.8 2WD,3050
GV80,디젤,3.0  AWD,5350
더 뉴 니로,가솔린+전기,1.6 HEV,1980
올 뉴 카마로,가솔린,SS 6.2 V8 볼케이노 레드,2080
올 뉴 쏘렌토,디젤,2.0 2WD,1230
올 뉴 K7,가솔린,2.4 GDI 리미티드 에디션,1150
K5 2세대,가솔린,1.6 터보 SX,890
아반떼 (CN7),가솔린,2.0 N,2690
더 뉴 그랜드 스타렉스,디젤,밴 3인승,9999
올 뉴 K7,가솔린,2.4 GDI 프레스티지,980
G80 (RG3),가솔린,2.5 터보 AWD,5280
G70,디젤,2.2D,1600
K5 3세대,가솔린,2,1940
아반떼 하이브리드 (CN7),가솔린+전기,모던,1690
토레스 EVX,전기,TV7,3790
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1795
더 뉴 그랜드 스타렉스,디젤,어린이보호차,2300
LF 쏘나타,LPG,LPI 모던,9999
K7 프리미어 하이브리드,가솔린+전기,시그니처,2570
아반떼 AD,가솔린,1.6 GDI 스마트,920
GV70,가솔린,2.5T  2WD,4650
아반떼 (CN7),가솔린,2.0 N,2950
팰리세이드,가솔린,3.8 2WD,2520
트랙스,가솔린,1.4 LTZ,480
GV70,가솔린,2.5T  AWD,5590
더 뉴 레이,가솔린,시그니처,1497
더 뉴 트랙스,가솔린,1.4 LT,990
더 뉴 아반떼,가솔린,1.6 GDi 스마트,550
코나,디젤,1.6 2WD,1170
크루즈,가솔린,1.8 LTZ+ 스타일패키지,350
EQ900,가솔린,3.8 GDI AWD,2199
아반떼 AD,디젤,1.6 e-VGT 스마트,950
K5 하이브리드 3세대,가솔린+전기,노블레스,2640
QM6,디젤,2WD RE 시그니처,1399
올 뉴 모닝,가솔린,디럭스,270
더 뉴 모닝,가솔린,럭셔리,650
G80 (RG3),가솔린,2.5 터보 2WD,4790
팰리세이드,디젤,2.2 4WD,2790
SM6,LPG,2.0 LPe LE,920
뉴SM3,가솔린,LE,280
스포티지 5세대 하이브리드,가솔린+전기,시그니처 그래비티 2WD,9999
더 뉴 팰리세이드,가솔린,3.8 2WD,4080
i40,디젤,1.7 VGT,580
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,3150
K7,LPG,LPI VG270 럭셔리,450
GV80,디젤,3.0  AWD,5950
LF 쏘나타,가솔린,2.0 케어플러스,1290
아반떼 (CN7),가솔린,1.6,1720
더 뉴 아반떼 AD,가솔린,1.6,1050
렉스턴 스포츠,디젤,2.2 4WD,2030
K5 3세대,가솔린,2,1730
올 뉴 카마로,가솔린,SS 6.2 V8,2250
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,2740
싼타페 더 프라임,디젤,2.0 2WD,1230
K7 프리미어,가솔린,2.5 GDI 프레스티지,1279
쏘나타 더 브릴리언트,LPG,LPI 프리미엄,590
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1050
스포티지 5세대,가솔린,1.6 터보 2WD,2690
아반떼 MD,가솔린,M16 GDI 프리미어,550
트랙스 크로스오버,가솔린,1.2 RS,2440
제네시스 DH,가솔린,G330 프리미엄,1499
올 뉴 K7,디젤,2.2  리미티드 에디션,1300
SM6,가솔린,1.6 TCe RE,799
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1777
K5 3세대,가솔린,2,1880
QM6,가솔린,2WD RE 시그니처,1370
G90 (RS4),가솔린,3.5 터보 2WD,8030
G80 (RG3),가솔린,3.5 터보 2WD,4100
스파크,가솔린,LT,240
싼타페 TM,디젤,2.0 2WD,2100
카니발 R,디젤,그랜드 카니발 GLX,590
스파크,가솔린,LT,150
벨로스터 (JS),가솔린,1.6 터보 스포츠,1550
그랜저 IG,가솔린,2.4 프리미엄,1890
더 뉴 맥스크루즈,디젤,2.2 2WD,1550
그랜저 HG,LPG,LPG HG300 프리미엄,790
엑센트(신형),가솔린,위트 1.6 GDI 탑,690
그랜저 HG,LPG,LPG HG300 프리미엄,600
G80,가솔린,3.3 GDI AWD,2115
더 뉴 그랜저 IG 하이브리드,가솔린+전기,르블랑,2970
베뉴,가솔린,1.6 플럭스,1690
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,870
싼타페 (MX5),가솔린,2.5T 2WD,3690
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,4280
그랜저 (GN7),가솔린,2.5  2WD,3050
카니발 4세대,가솔린,7인승 시그니처,3300
K5 3세대,가솔린,2,1675
K7 프리미어,가솔린,2.5 GDI 프레스티지,1969
GV80,가솔린,3.5T  AWD,4890
베뉴,가솔린,1.6 플럭스,1760
그랜저 HG,가솔린,HG240 모던 컬렉션,1350
아반떼 AD,가솔린,1.6 GDI 스마트,959
G80 (RG3),가솔린,2.5 터보 AWD,4970
올 뉴 카니발,디젤,9인승 노블레스,1699
K5 3세대,가솔린,1.6 터보,9999
GV70,가솔린,2.5T  AWD,5050
G80 (RG3),가솔린,2.5 터보 AWD,4050
볼트 EV,전기,EV 프리미어,1550
EQ900,가솔린,3.3 T-GDI AWD,2900
올 뉴 K7 하이브리드,가솔린+전기,노블레스,2030
더 뉴 레이,가솔린,베스트 셀렉션,1460
카니발 4세대,가솔린,9인승 시그니처,5790
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2390
벨로스터 (JS),가솔린,2.0 N,2680
더 뉴 그랜저 IG,가솔린,2.5,2690
더 뉴 기아 레이,가솔린,밴,1360
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 미드나잇 4WD,3580
K7 프리미어 하이브리드,가솔린+전기,시그니처,2950
올 뉴 카니발,디젤,9인승 프레스티지,1150
올 뉴 쏘렌토,디젤,2.0 2WD,1290
더 뉴 카니발,가솔린,9인승 하이리무진,2599
더 뉴 니로,가솔린+전기,1.6 HEV,1820
더 뉴 K9 2세대,가솔린,3.3 T-GDI AWD,3799
G70,가솔린,2.0T AWD,2595
